word	rt.g1.n	rt.g1.m	rt.g1.se	rt.g2.n	rt.g2.m	rt.g2.se	rt.g3.n	rt.g3.m	rt.g3.se	rt.g4.n	rt.g4.m	rt.g4.se	rt.g6.n	rt.g6.m	rt.g6.se	rt.ya.n	rt.ya.m	rt.ya.se	rt.oa.n	rt.oa.m	rt.oa.se
schief	NA	NA	NA	15	2021	204	20	1240	101	17	1092	87	25	851	51	18	581	30	18	737	35
Schiff	NA	NA	NA	18	1337	129	19	1041	86	19	950	73	27	816	48	20	572	28	21	674	31
Schild	15	3041	302	22	1768	162	22	1253	99	21	980	73	29	778	45	20	544	27	20	644	30
Schimmel	16	3746	366	21	2022	187	13	1449	133	16	1269	103	29	825	47	22	619	30	20	704	32
schimpfen	NA	NA	NA	17	1901	186	20	1494	121	22	1157	86	27	868	51	20	563	28	21	674	31
schlachten	NA	NA	NA	15	2586	262	18	1726	145	19	1401	108	26	879	52	20	565	28	19	744	35
schlafen	NA	NA	NA	21	1753	162	23	1175	92	19	1009	78	30	767	43	22	546	26	19	650	30
schlagen	NA	NA	NA	20	1904	178	20	1347	109	21	1066	80	27	734	43	21	561	27	21	696	32
Schlange	16	3521	344	20	1954	183	22	1267	100	18	1106	87	27	775	45	20	561	28	20	654	30
schlank	NA	NA	NA	15	2187	221	12	1483	140	18	1195	93	27	760	44	20	578	29	21	670	30
schlau	NA	NA	NA	25	1656	146	18	1209	101	20	935	71	29	783	45	20	573	28	20	664	30
schlecht	NA	NA	NA	24	2034	182	19	1406	116	21	1101	82	31	734	41	22	543	26	19	685	32
Schleife	18	3105	295	18	2064	199	21	1448	116	17	1077	86	28	803	46	21	560	27	21	660	30
schleppen	NA	NA	NA	18	1968	190	19	1369	112	20	1249	95	28	829	48	19	582	29	21	711	32
schleudern	NA	NA	NA	19	2681	255	16	1636	141	21	1249	93	30	922	52	21	613	30	20	699	32
schließen	NA	NA	NA	17	1818	178	21	1360	109	19	1116	86	26	813	48	21	596	29	20	714	33
schlimm	NA	NA	NA	20	1870	175	18	1353	113	19	1117	86	27	792	46	19	608	31	19	704	33
Schlitten	20	3459	319	20	2107	197	18	1478	124	21	1341	100	28	918	53	20	645	32	20	814	37
Schloss	17	2932	282	26	1545	135	22	1079	85	21	962	72	28	784	45	22	513	25	20	660	30
Schlosser	NA	NA	NA	10	2135	241	13	1518	140	12	1088	96	22	841	52	21	604	30	20	664	30
schlucken	NA	NA	NA	20	2235	209	22	1463	116	21	1090	82	28	811	47	22	583	28	20	725	33
Schluss	16	3225	315	21	1946	180	20	1276	104	22	1030	76	26	752	44	21	554	27	19	651	30
Schlüssel	20	3732	345	22	1999	183	21	1145	92	19	1062	82	29	762	44	21	557	27	20	687	32
schmecken	NA	NA	NA	18	1851	178	18	1280	107	18	1120	88	27	776	45	21	577	28	21	711	32
schmelzen	NA	NA	NA	16	2188	217	19	1505	124	17	981	78	28	818	47	21	579	28	19	695	32
schmücken	NA	NA	NA	15	2262	229	21	1408	113	18	1133	89	27	779	46	21	578	28	21	680	31
schmutzig	NA	NA	NA	20	2052	192	20	1468	119	23	1109	81	30	788	45	19	602	30	20	732	34
Schnabel	15	3328	331	19	2212	210	21	1428	114	19	1070	82	27	846	49	21	562	28	20	676	31
Schnecke	18	3166	300	23	2001	181	17	1562	133	18	1020	80	29	784	45	22	579	28	20	680	31
Schnee	17	2591	249	24	1398	125	19	1100	90	20	904	69	30	703	40	22	534	26	20	685	31
schneiden	NA	NA	NA	19	2004	190	20	1286	104	20	1038	79	26	771	46	21	565	28	20	675	31
schnell	NA	NA	NA	22	1685	154	19	1107	91	22	988	73	29	729	42	22	547	26	20	620	28
Schnur	17	3223	310	14	1830	189	14	1369	123	22	1118	82	24	927	56	20	601	30	20	681	31
Schokolade	NA	NA	NA	21	2008	186	21	1174	94	22	1004	74	28	737	43	21	560	27	21	667	30
schön	NA	NA	NA	23	1385	125	20	1012	82	23	950	69	30	728	41	21	530	26	20	654	30
Schrank	15	3013	299	20	1799	169	22	1194	94	20	981	75	27	747	44	21	554	27	19	644	30
Schraube	18	3524	334	17	2149	210	21	1452	116	18	1182	93	26	861	51	20	561	28	21	652	30
schreiben	NA	NA	NA	19	1882	179	21	1394	111	19	911	70	28	759	44	19	566	28	20	665	31
schreien	NA	NA	NA	21	2035	188	17	1369	116	21	1079	81	30	822	47	22	620	30	20	687	32
Schrift	19	2895	271	19	2018	192	18	1467	123	23	1181	86	29	762	44	20	604	30	19	656	30
Schritt	14	3458	350	17	1841	180	17	1292	110	17	1132	90	25	800	48	21	584	29	20	679	31
Schuh	18	2618	248	24	1737	155	20	1120	91	20	933	71	29	761	44	22	543	26	20	660	30
Schule	17	2377	229	22	1543	141	21	1136	91	20	871	66	30	676	38	18	581	30	19	660	31
Schüler	20	3122	288	25	1946	172	22	1355	107	20	948	72	30	742	42	21	560	27	19	643	30
Schulter	16	3936	385	16	2135	212	20	1484	121	21	1078	81	26	830	49	21	569	28	21	694	31
schütteln	NA	NA	NA	18	2228	215	19	1529	126	17	1097	87	28	822	48	21	569	28	19	695	32
Schutz	13	2908	300	19	2001	190	21	1232	98	19	1019	79	27	753	44	21	602	29	21	685	31
schützen	NA	NA	NA	18	2331	225	20	1411	114	18	1062	83	25	720	43	21	613	30	21	656	30
schwach	NA	NA	NA	20	1710	160	22	1232	97	20	1044	79	28	803	46	21	565	28	20	664	30
Schwalbe	10	3861	426	14	2390	246	19	1567	129	17	1246	99	25	799	48	21	593	29	21	665	30
Schwanz	17	3065	295	19	2003	190	21	1312	105	20	1023	78	27	766	45	22	585	28	19	664	31
schwarz	NA	NA	NA	18	1625	157	18	1251	104	21	953	71	28	788	46	20	591	29	21	651	30
schweigen	NA	NA	NA	19	2443	232	19	1424	117	19	1196	92	25	841	50	20	569	28	21	679	31
Schwein	17	2673	257	24	1822	163	20	1249	101	20	1029	78	30	732	41	21	535	26	20	655	30
schwer	NA	NA	NA	20	1606	151	19	1235	102	19	946	73	27	746	44	20	577	29	21	675	31
Schwester	18	3672	348	20	1982	186	18	1334	112	22	1025	76	28	773	45	22	549	27	20	650	30
schwierig	NA	NA	NA	19	2726	259	21	1575	126	19	1154	89	28	886	51	21	565	28	19	707	33
schwimmen	NA	NA	NA	23	1754	158	19	1173	96	20	883	67	30	718	41	22	561	27	19	656	31
Schwimmer	15	3444	342	16	2007	199	19	1249	103	22	1005	74	27	769	45	21	557	27	20	674	31
schwitzen	NA	NA	NA	18	1947	188	19	1353	112	20	1072	81	27	877	51	20	588	29	20	673	31
See	17	1999	192	21	1041	96	19	1040	85	19	816	63	26	723	43	20	541	27	20	675	31
Segelboot	NA	NA	NA	15	2160	219	19	1559	128	18	1294	101	22	986	61	20	672	33	20	741	34
sehen	NA	NA	NA	22	1601	146	20	1025	83	22	956	71	30	742	42	20	521	26	20	675	31
Seife	19	2983	279	24	1652	148	21	1268	102	22	979	72	29	754	43	21	562	28	19	656	30
Seite	16	2899	283	18	1731	167	19	1186	98	21	913	68	27	758	44	19	564	28	21	657	30
selten	NA	NA	NA	20	2056	193	19	1439	118	17	1106	88	25	832	50	20	598	30	19	709	33
senden	NA	NA	NA	16	1895	188	21	1226	98	19	1072	83	26	764	45	20	591	29	21	701	32
sensibel	NA	NA	NA	11	2768	304	14	1730	156	14	1371	115	15	1105	76	20	628	31	21	827	37
September	NA	NA	NA	17	2108	206	20	1234	100	18	1027	80	28	753	44	21	554	27	20	653	30
Sessel	12	3563	375	17	1914	187	14	1393	126	21	1102	82	25	797	48	21	623	31	18	706	33
setzen	NA	NA	NA	17	2385	233	20	1396	113	20	1029	78	27	786	46	21	604	30	20	676	31
siegen	NA	NA	NA	15	2130	215	18	1399	117	18	1148	90	26	867	51	18	637	32	19	764	36
singen	NA	NA	NA	19	1782	169	22	1031	81	20	951	72	26	666	39	19	555	28	20	670	31
sinken	NA	NA	NA	19	2680	254	15	1613	142	16	1328	107	29	827	47	18	646	33	18	761	36
Sinn	NA	NA	NA	10	1894	214	16	1475	128	15	1135	94	22	740	46	19	552	28	21	678	31
sitzen	NA	NA	NA	16	1717	171	20	1371	111	20	973	74	27	743	43	21	574	28	20	700	32
Skorpion	NA	NA	NA	13	3301	347	12	1878	177	15	1236	102	22	927	57	20	608	30	17	721	34
Sofa	16	2486	243	23	1783	161	17	1069	91	20	939	71	30	696	39	22	544	26	20	661	30
Sohn	NA	NA	NA	16	1754	174	19	1073	88	22	933	69	29	714	41	21	553	27	20	651	30
Sommer	19	2632	246	24	1361	122	20	951	77	19	876	68	29	662	38	21	527	26	20	665	31
Sonnabend	NA	NA	NA	13	2301	242	16	1809	157	16	1224	99	27	818	48	19	632	32	20	703	32
Sonne	21	2043	186	24	1354	121	19	979	80	19	831	64	30	693	39	22	527	26	20	642	29
Sonntag	17	3294	317	18	1693	163	22	1015	80	21	892	67	27	727	42	21	540	26	21	659	30
sorgen	NA	NA	NA	18	1738	167	21	1271	102	21	1037	78	27	805	47	18	573	29	21	660	30
Soße	15	3137	312	17	1887	185	21	1202	96	19	1226	95	26	821	49	21	591	29	18	725	34
sparen	NA	NA	NA	14	2109	217	18	1361	114	19	1119	86	28	755	44	22	622	30	20	678	31
Spaß	14	2388	241	19	1300	123	21	983	78	21	859	64	28	672	39	21	538	26	20	661	30
spät	NA	NA	NA	22	1670	153	21	1148	92	19	998	77	29	755	43	20	513	25	20	649	30
Spiegel	19	3151	295	18	1763	170	20	1291	105	20	1005	76	28	771	45	21	532	26	20	656	30
Spiel	17	2600	250	24	1404	125	22	1019	80	18	901	71	28	676	39	21	551	27	20	677	31
spielen	NA	NA	NA	22	1555	142	18	1121	94	19	936	72	29	727	42	21	519	25	20	646	30
Spinne	16	3090	302	25	1756	155	19	1289	106	19	903	70	29	718	41	22	578	28	20	659	30
spitz	NA	NA	NA	14	1693	174	20	1401	114	21	911	68	25	817	49	21	634	31	21	720	33
Sport	16	2773	271	25	1445	128	19	1054	87	20	812	62	30	686	39	21	546	27	20	643	30
Sprache	16	3442	336	18	1931	186	20	1306	106	21	927	69	27	736	43	21	530	26	20	630	29
sprechen	NA	NA	NA	19	1783	169	19	1231	101	17	936	75	28	770	45	19	542	27	20	675	31
springen	NA	NA	NA	19	1638	156	19	1228	101	19	966	75	27	746	44	21	555	27	21	659	30
spritzen	NA	NA	NA	21	2626	243	16	1696	147	16	1235	100	28	882	51	19	590	30	18	735	35
Stadt	9	3837	435	19	2292	218	20	1200	97	20	941	71	30	696	39	21	551	27	20	670	31
Städtchen	NA	NA	NA	7	2709	336	15	2090	185	15	1457	120	24	899	54	22	628	30	19	730	34
Stall	16	2866	280	16	1738	173	18	1237	104	21	1082	81	26	751	44	21	554	27	21	668	30
Stamm	19	2809	263	20	1710	160	19	1230	101	22	1057	78	30	792	45	18	563	29	20	690	32
Stand	11	3340	359	20	2040	191	18	1280	107	20	1118	85	28	744	43	18	550	28	19	747	35
Standpunkt	NA	NA	NA	11	2786	306	19	1753	145	20	1436	109	24	1015	61	21	605	30	21	673	31
Stange	12	3373	355	19	2004	190	21	1463	117	18	1146	90	28	911	53	22	593	29	20	687	32
Stapel	13	3204	330	16	2500	249	15	1776	157	15	1233	102	27	904	53	21	595	29	20	693	32
stark	NA	NA	NA	24	1680	150	20	1255	102	19	998	77	29	684	39	22	535	26	18	663	31
Start	17	2680	258	17	1898	186	19	1073	89	19	954	74	27	765	45	21	567	28	21	659	30
stechen	NA	NA	NA	18	2501	241	14	1562	141	19	1312	101	28	965	56	19	628	32	19	695	32
stehen	NA	NA	NA	17	1699	166	21	1231	99	17	979	78	28	768	44	20	558	28	20	671	31
steigen	NA	NA	NA	17	2108	206	18	1538	128	16	1026	83	25	691	41	20	574	28	20	674	31
Stein	13	2600	268	20	1632	153	23	1013	79	21	886	66	29	712	41	20	534	27	19	631	29
Stelle	14	2866	290	19	1780	169	19	1454	120	18	978	77	28	791	46	21	563	28	20	657	30
stellen	NA	NA	NA	18	1889	182	21	1398	112	17	1083	86	26	736	43	21	556	27	20	658	30
sterben	NA	NA	NA	17	2346	230	20	1403	114	19	1003	77	28	727	42	21	541	27	21	663	30
Stern	18	2984	283	17	1700	166	20	1049	85	19	860	66	27	730	43	21	556	27	21	641	29
Stiefel	16	3387	331	17	2133	209	18	1508	126	19	1049	81	26	786	46	20	572	28	20	684	31
Stift	15	3240	322	19	1739	165	21	1151	92	21	1036	78	25	772	46	21	574	28	21	707	32
still	NA	NA	NA	18	1701	164	18	1154	96	19	969	75	26	807	48	19	531	27	19	638	30
Stimme	9	2796	317	18	1802	174	21	1161	93	20	862	65	28	726	42	21	549	27	20	637	29
Stirn	NA	NA	NA	15	1928	195	19	1254	103	18	1107	87	26	788	47	20	581	29	20	648	30
Stock	15	3284	326	23	1655	149	21	1259	101	17	962	77	29	734	42	22	592	29	19	665	31
Stoff	NA	NA	NA	16	1788	178	16	1175	102	20	992	75	25	731	44	21	570	28	20	686	32
stolpern	NA	NA	NA	17	2048	200	20	1546	126	17	1086	86	27	871	51	20	586	29	21	692	31
stolz	NA	NA	NA	21	1763	163	20	1117	91	23	988	72	28	743	43	21	535	26	20	653	30
Storch	10	3928	433	18	2344	226	17	1376	117	17	1093	87	29	864	49	21	588	29	20	680	31
stören	NA	NA	NA	22	2142	196	22	1447	114	20	1029	78	29	769	44	22	593	29	20	660	30
stoßen	NA	NA	NA	16	2465	245	15	1345	119	19	1052	81	27	752	44	19	590	30	19	671	31
Strafe	NA	NA	NA	15	2023	205	19	1320	109	19	1181	91	25	819	49	21	586	29	20	705	32
Strand	14	3293	333	15	1861	188	21	1101	88	22	932	69	28	701	41	21	552	27	20	660	30
Straße	16	3404	333	18	1772	171	18	1192	100	19	889	69	27	720	42	21	552	27	20	666	31
Streich	11	4571	492	19	2415	229	19	1606	132	19	1152	89	29	848	49	22	629	30	20	666	31
Streit	16	3258	318	21	2174	201	18	1427	119	19	1175	91	29	725	41	20	544	27	20	709	33
Stroh	NA	NA	NA	17	2166	212	19	1387	114	17	1059	84	25	791	47	21	569	28	20	657	30
Strömung	NA	NA	NA	18	2764	266	17	1756	150	19	1204	93	27	861	50	21	598	29	19	688	32
Strumpf	15	4031	400	19	2285	217	16	1458	126	17	1130	90	23	846	52	19	591	30	19	738	34
Stück	17	2671	257	18	1794	173	19	1203	99	17	1026	82	28	753	44	21	527	26	21	634	29
Stufe	12	2963	312	25	1935	171	19	1203	99	19	960	74	30	694	39	20	592	29	20	661	30
Stuhl	13	3252	335	17	2127	208	20	1071	87	22	977	72	30	716	41	21	535	26	20	642	29
Stunde	12	3390	357	19	1849	176	20	1169	95	18	994	78	28	688	40	20	544	27	21	637	29
Sturm	16	2917	285	19	1578	150	21	1281	102	17	1017	81	27	712	42	21	520	25	20	642	29
suchen	NA	NA	NA	24	1717	153	20	1183	96	20	974	74	29	732	42	21	585	29	20	694	32
Suppe	NA	NA	NA	16	1380	137	19	1159	95	19	897	69	27	803	47	21	541	27	21	664	30
süß	NA	NA	NA	23	1452	131	23	1001	78	21	872	65	29	672	38	21	525	26	20	640	29
Tafel	12	2849	300	19	1519	144	21	1271	102	21	1015	76	29	720	41	22	522	25	20	688	32
Tag	18	2214	210	23	1234	112	21	979	78	22	932	69	28	664	38	22	565	27	19	663	31
Tal	NA	NA	NA	14	1644	169	16	1283	111	18	1030	81	20	815	52	19	609	31	19	689	32
Tanne	19	2909	272	17	1742	170	23	1265	98	17	968	77	26	766	45	20	581	29	20	674	31
Tante	17	3504	337	22	1794	164	21	1259	101	21	981	73	31	748	42	20	570	28	19	649	30
tanzen	NA	NA	NA	20	1764	165	20	1139	92	19	877	68	29	708	41	22	563	27	18	684	32
Tasche	18	3229	306	25	1655	146	16	1128	98	20	1027	78	30	722	41	21	549	27	20	648	30
Tasse	16	2762	270	22	1695	155	17	1149	98	22	968	71	30	731	41	22	544	26	19	637	30
Tastatur	NA	NA	NA	15	2651	268	18	1647	138	17	1266	101	27	894	52	21	609	30	21	793	36
Tatsache	11	4883	525	17	2905	284	12	1804	170	19	1313	101	28	944	55	21	587	29	20	685	31
Taube	18	2927	278	22	1729	158	19	1175	97	21	954	71	26	730	43	22	518	25	20	664	30
tauchen	NA	NA	NA	19	1744	166	22	1305	103	20	1017	77	25	783	47	21	575	28	21	709	32
Teddybär	NA	NA	NA	16	2178	216	21	1464	117	21	1181	88	26	877	52	21	647	32	21	733	33
Tee	15	2111	210	23	1211	109	21	881	71	23	896	65	31	714	40	20	541	27	19	633	29
Teelöffel	NA	NA	NA	18	2834	273	18	1497	125	22	1251	92	26	908	54	21	621	30	20	740	34
Teil	13	3321	342	18	1737	167	19	1147	94	19	954	74	24	721	44	20	548	27	20	708	32
Telefon	NA	NA	NA	22	1671	153	22	1124	89	21	866	65	27	711	42	22	573	28	20	669	31
Teller	11	2819	303	22	1663	152	17	1057	90	19	888	69	30	745	42	22	567	27	20	663	30
Teppich	NA	NA	NA	14	1930	199	19	1176	97	19	962	74	27	815	48	20	566	28	21	658	30
teuer	NA	NA	NA	23	1906	172	19	1351	111	21	1084	81	30	724	41	20	556	28	20	645	30
Teufel	14	3445	348	23	2027	183	16	1335	115	17	1045	83	29	714	41	21	538	26	20	675	31
Text	12	3525	371	20	1634	153	22	999	79	20	983	75	29	711	41	22	536	26	20	688	32
tief	NA	NA	NA	22	1940	177	18	1200	100	18	965	76	28	923	53	19	568	29	18	720	34
Tier	20	2502	231	17	1423	139	23	1001	78	17	912	73	27	724	42	20	548	27	18	668	31
Tiger	20	2772	256	21	1607	149	19	1212	100	19	889	69	27	685	40	19	611	31	21	738	33
Tipp	17	2730	263	21	1537	142	20	986	80	19	966	74	24	787	48	19	558	28	15	726	36
Tisch	13	2601	268	24	1543	138	19	1117	92	18	919	72	30	713	40	20	531	26	20	658	30
Tochter	10	3055	337	19	1977	188	21	1399	112	21	1023	77	27	690	40	21	537	26	21	645	29
toll	NA	NA	NA	20	1295	121	20	1001	81	21	850	64	25	705	42	21	563	28	21	696	32
Tomate	18	3095	294	17	1674	164	20	1258	102	20	968	73	28	748	43	21	555	27	20	665	31
Ton	NA	NA	NA	17	2079	203	15	1142	101	19	1060	82	24	739	45	21	537	26	20	687	32
Topf	16	2934	287	22	1556	142	18	1109	93	19	906	70	30	737	42	20	536	27	20	648	30
Tor	18	2101	199	20	1379	129	22	1017	80	22	851	63	25	717	43	20	544	27	21	690	31
tot	NA	NA	NA	12	1537	165	17	1140	97	22	979	72	25	746	45	20	555	28	19	673	31
tragen	NA	NA	NA	25	1922	170	20	1336	108	20	1079	82	27	755	44	22	599	29	20	666	31
Traum	16	3086	302	20	1624	152	21	1096	88	21	877	66	28	697	40	21	536	26	20	653	30
traurig	NA	NA	NA	19	1859	177	20	1318	107	17	959	76	28	733	42	20	541	27	21	689	31
treffen	NA	NA	NA	18	1838	177	21	1269	101	19	1002	77	27	732	43	21	539	26	21	651	30
treiben	NA	NA	NA	15	2139	216	16	1404	121	18	1202	94	28	864	50	21	618	30	21	703	32
trennen	NA	NA	NA	21	2250	208	17	1435	122	22	1121	83	28	747	43	21	565	28	20	678	31
Treppe	13	2999	309	22	1842	168	21	1376	110	20	895	68	29	738	42	22	554	27	20	662	30
treten	NA	NA	NA	17	1945	190	19	1462	121	19	1191	92	25	817	49	21	576	28	20	689	32
trinken	NA	NA	NA	19	1872	178	21	1071	86	20	876	67	28	711	41	21	548	27	20	657	30
trocken	NA	NA	NA	21	1973	183	19	1282	105	21	981	73	29	768	44	22	570	28	20	676	31
Trommel	13	3556	367	17	1942	190	20	1346	109	19	1051	81	27	798	47	19	591	30	21	681	31
Trommler	NA	NA	NA	15	2484	251	19	1648	136	18	1222	96	25	873	52	19	696	35	19	766	36
Tube	12	3220	339	18	1882	181	17	1416	120	12	1140	100	24	895	54	16	639	34	20	727	33
Tür	15	1994	198	25	1243	110	18	943	79	20	795	60	29	666	38	21	520	25	20	660	30
Turm	16	2570	251	18	1616	156	19	1349	111	18	985	77	26	749	44	19	568	29	20	691	32
turnen	NA	NA	NA	23	2113	191	19	1213	100	22	1236	91	29	824	47	20	603	30	20	675	31
Tüte	12	3229	340	25	1759	156	19	1147	94	20	907	69	29	714	41	19	556	28	20	658	30
üben	NA	NA	NA	22	1520	139	19	1090	90	23	949	69	30	757	43	21	526	26	20	668	31
Überraschung	NA	NA	NA	17	2618	256	21	1423	114	23	1085	79	27	780	46	21	585	29	21	678	31
Übung	NA	NA	NA	15	1882	190	20	1138	92	20	883	67	26	724	43	21	560	27	20	668	31
Uhr	17	2294	221	25	1231	109	22	983	78	21	846	63	28	694	40	21	555	27	19	624	29
Uhu	9	3555	403	17	2043	200	17	1361	116	20	1084	82	26	847	50	17	593	31	18	695	33
Umarmung	NA	NA	NA	15	2855	289	15	1849	163	18	1540	121	25	939	56	21	569	28	21	769	35
Unfall	13	3289	339	19	1909	181	19	1303	107	17	908	72	27	752	44	20	543	27	20	640	29
Ungeheuer	NA	NA	NA	18	2625	253	16	1536	133	18	1280	100	27	908	53	22	612	30	19	687	32
Universität	NA	NA	NA	10	3342	377	18	2158	180	18	1374	108	24	1029	62	21	622	30	19	743	35
Unterhemd	NA	NA	NA	20	2982	279	15	1847	163	19	1537	119	27	979	57	21	605	30	19	690	32
Unterhose	NA	NA	NA	15	2295	232	20	1487	121	21	1149	86	28	835	48	20	568	28	19	672	31
Unwetter	NA	NA	NA	18	2288	220	20	1537	125	16	1193	97	26	827	49	22	585	28	20	665	31
Urlaub	11	3047	328	18	1814	175	19	1109	91	19	949	73	27	768	45	21	552	27	19	633	29
Urlauber	13	4209	434	17	1961	192	16	1600	138	19	1203	93	27	896	52	18	661	34	21	734	33
Urwald	15	3578	356	23	2084	188	18	1553	130	20	1107	84	26	844	50	21	622	30	19	679	32
Vampir	16	3222	315	20	1913	179	22	1322	104	21	1011	76	25	776	46	21	572	28	17	747	36
Vanille	NA	NA	NA	15	2198	222	16	1270	110	18	963	75	25	791	47	21	595	29	21	690	31
Vase	11	3181	342	17	1706	167	21	1158	92	20	1043	79	29	797	46	16	614	32	20	679	31
Vater	12	3634	382	18	1576	152	21	1085	87	22	930	69	27	675	39	21	516	25	20	642	29
Veilchen	NA	NA	NA	9	2934	341	17	2078	177	13	1420	122	18	1131	74	13	717	39	19	754	35
verändern	NA	NA	NA	13	2812	296	16	1571	136	21	1295	97	29	832	48	22	572	28	18	719	34
verbieten	NA	NA	NA	13	2368	249	15	1658	146	18	1133	89	28	871	50	21	604	30	21	726	33
verblüffen	NA	NA	NA	12	2741	294	19	1778	146	17	1279	102	24	984	59	20	639	32	20	724	33
verbrauchen	NA	NA	NA	17	2730	267	21	1759	140	17	1325	105	26	921	54	21	609	30	21	737	33
verbuddeln	NA	NA	NA	15	3173	321	16	2200	190	16	1490	121	20	1035	66	13	793	44	19	931	43
verdauen	NA	NA	NA	15	2750	278	19	1692	140	18	1295	101	28	903	52	19	611	31	19	702	33
verderben	NA	NA	NA	15	3320	336	14	1928	173	17	1520	121	26	1083	64	20	670	33	20	784	36
verdienen	NA	NA	NA	15	2556	259	17	1773	151	22	1278	94	30	825	47	21	562	28	20	688	32
verdonnern	NA	NA	NA	11	3015	332	11	2113	204	17	1597	127	23	1005	62	18	693	35	20	808	37
verdrehen	NA	NA	NA	13	2443	257	21	1825	146	20	1285	98	26	878	52	20	597	30	20	690	32
verdrücken	NA	NA	NA	19	2603	247	20	1581	128	20	1332	101	28	985	57	20	611	30	19	749	35
verfahren	NA	NA	NA	16	2485	247	21	1701	136	18	1252	98	27	993	58	20	589	29	20	754	35
verfolgen	NA	NA	NA	17	2671	261	19	1668	137	18	1123	88	28	840	49	20	574	28	20	701	32
vergeben	NA	NA	NA	17	2467	241	21	1549	124	20	1160	88	29	859	49	21	582	29	20	679	31
vergessen	NA	NA	NA	22	1998	183	19	1389	114	23	1002	73	28	710	41	22	542	26	20	699	32
vergeuden	NA	NA	NA	9	2997	348	5	2099	251	9	1631	155	13	1037	74	17	671	35	19	761	35
Vergleich	16	4510	441	18	2420	233	20	1640	133	21	1256	94	30	835	47	22	562	27	20	684	31
verglühen	NA	NA	NA	17	3050	298	13	2035	187	21	1452	109	24	1059	64	21	629	31	19	764	36
vergnügen	NA	NA	NA	18	2415	233	22	1694	134	19	1244	96	27	909	53	21	595	29	19	644	30
verhaspeln	NA	NA	NA	7	2827	351	5	1831	219	6	1453	153	15	1198	83	16	841	44	19	885	41
verheilen	NA	NA	NA	13	2897	305	12	1899	179	16	1599	129	22	1002	62	20	706	35	18	788	37
verkaufen	NA	NA	NA	23	1954	177	20	1308	106	22	1003	74	30	830	47	21	542	27	19	643	30
Verkehr	11	4432	477	13	2232	235	18	1447	121	22	1047	77	25	792	47	21	553	27	21	646	29
verkehren	NA	NA	NA	8	2454	294	10	1487	148	14	1358	114	27	909	53	22	636	31	20	686	32
verlaufen	NA	NA	NA	22	2142	196	19	1401	115	20	986	75	28	775	45	22	595	29	20	748	34
verletzen	NA	NA	NA	15	2594	262	20	1459	118	21	1038	78	27	799	47	21	570	28	20	770	35
verlieben	NA	NA	NA	22	2195	201	20	1491	121	22	1109	82	31	850	48	22	588	28	19	727	34
verlieren	NA	NA	NA	18	2381	229	19	1620	133	17	1049	83	25	888	53	21	572	28	21	700	32
Verlierer	12	4670	491	21	2623	243	17	1874	159	17	1424	113	29	861	49	22	609	30	20	739	34
verloben	NA	NA	NA	19	2380	226	20	1562	127	20	1095	83	27	873	51	19	601	30	21	731	33
vermissen	NA	NA	NA	19	2359	224	19	1360	112	19	1099	85	26	845	50	21	566	28	20	664	30
vermuten	NA	NA	NA	20	2425	227	21	1659	133	19	1243	96	28	866	50	20	567	28	19	707	33
verpacken	NA	NA	NA	17	2242	219	18	1406	118	20	1115	85	27	781	46	21	548	27	19	686	32
verpassen	NA	NA	NA	15	1746	177	19	1344	111	21	1044	78	27	803	47	21	564	28	19	685	32
verraten	NA	NA	NA	17	2142	209	19	1590	131	23	1164	85	30	823	47	22	579	28	19	721	34
verschwenden	NA	NA	NA	17	2989	292	20	2062	167	15	1613	133	24	984	60	20	648	32	20	747	34
versinken	NA	NA	NA	14	2804	289	19	1664	137	20	1270	96	28	881	51	21	597	29	19	734	34
versprechen	NA	NA	NA	24	2594	232	21	1644	131	20	1160	88	30	875	50	22	607	29	20	701	32
Verstand	12	4678	492	22	2373	217	21	1480	118	20	1028	78	28	859	50	21	584	29	20	682	31
verstecken	NA	NA	NA	24	1902	170	23	1485	116	21	1033	77	28	754	44	22	590	29	20	706	32
verstopfen	NA	NA	NA	23	2606	235	20	1790	145	19	1371	106	27	803	47	22	625	30	19	706	33
vertauschen	NA	NA	NA	19	2528	240	18	1688	141	19	1361	105	28	862	50	22	601	29	20	711	33
verteidigen	NA	NA	NA	18	2941	283	16	1642	142	18	1632	128	24	1035	63	20	615	31	20	684	31
verteilen	NA	NA	NA	16	3005	299	17	1619	138	22	1211	89	29	893	51	21	585	29	20	727	33
vertrauen	NA	NA	NA	18	2160	208	19	1275	105	19	1124	87	27	786	46	20	596	30	21	682	31
vertreten	NA	NA	NA	12	3200	344	15	1894	167	19	1443	111	26	962	57	21	599	29	20	682	31
verwelken	NA	NA	NA	13	2900	305	11	1897	183	13	1653	142	20	973	62	19	723	36	20	777	36
verwöhnen	NA	NA	NA	18	2733	263	16	2060	178	20	1256	95	29	938	54	22	605	29	20	656	30
verzagen	NA	NA	NA	6	2577	333	10	2145	213	7	1133	115	15	1038	72	18	697	36	18	723	34
verzeihen	NA	NA	NA	19	2863	272	16	1687	146	18	1140	89	24	831	50	20	583	29	21	758	34
Video	10	3056	337	18	1561	150	19	1238	102	18	1035	81	27	752	44	20	572	28	21	728	33
Virus	NA	NA	NA	13	2467	259	10	1716	171	17	1229	98	23	890	54	20	584	29	20	737	34
